"No.","Time","Source","Destination","Protocol","Length","Info"
"25662","3.822004","82.237.218.57","10.10.10.10","TCP","60","6752  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25663","3.822005","78.69.171.27","10.10.10.10","TCP","60","65041  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25664","3.822005","215.74.63.128","10.10.10.10","TCP","60","64833  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25665","3.822006","42.203.254.182","10.10.10.10","TCP","60","51592  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25666","3.822096","135.125.73.93","10.10.10.10","TCP","60","51083  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25667","3.822096","130.34.96.139","10.10.10.10","TCP","60","23141  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25668","3.822097","27.11.41.48","10.10.10.10","TCP","60","15029  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25669","3.822097","35.79.137.56","10.10.10.10","TCP","60","17200  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25670","3.822098","39.228.153.141","10.10.10.10","TCP","60","41799  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25671","3.822098","155.62.122.1","10.10.10.10","TCP","60","26531  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25672","3.822099","23.96.175.232","10.10.10.10","TCP","60","40538  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25673","3.822100","209.129.138.229","10.10.10.10","TCP","60","27473  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25674","3.822196","179.111.28.90","10.10.10.10","TCP","60","27716  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25675","3.822197","156.200.139.57","10.10.10.10","TCP","60","8304  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25676","3.822197","111.230.164.210","10.10.10.10","TCP","60","42948  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25677","3.822198","141.162.232.148","10.10.10.10","TCP","60","2684  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25678","3.822198","7.240.222.125","10.10.10.10","TCP","60","54132  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25679","3.822199","122.82.240.181","10.10.10.10","TCP","60","1848  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25680","3.822200","187.72.120.150","10.10.10.10","TCP","60","45043  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25681","3.822200","104.183.17.233","10.10.10.10","TCP","60","52266  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25682","3.822301","137.101.123.65","10.10.10.10","TCP","60","3090  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25683","3.822302","98.129.56.21","10.10.10.10","TCP","60","30213  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25684","3.822302","37.7.207.132","10.10.10.10","TCP","60","4894  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25685","3.822303","41.206.97.240","10.10.10.10","TCP","60","34252  >  25565 [SYN] Seq=0 Win=0 Len=0"
"25686","3.822303","41.161.243.154","10.10.10.10","TCP","60","21580  >  25565 [SYN] Seq=0 Win=0 Len=0"
